CNT,Drugs,ndrugs,rnk
135097,DB08882,1,259
134944,DB00252,1,260
134091,DB00434,1,261
133532,DB00819,1,262
133258,DB06802,1,263
132114,DB00136,1,264
131515,DB00962,1,265
129894,DB00596,1,266
127129,DB00763,1,267
122303,DB00717,1,268
121716,DB09076,1,269
120301,DB00983,1,270
119071,DB00745,1,271
118958,DB00346,1,272
117393,DB00400,1,273
115093,DB00512,1,274
114706,DB00040,1,275
112472,DB06771,1,276
112248,DB00643,1,277
110729,DB01046,1,278
109670,DB00489,1,279
108772,DB00963,1,280
108321,DB06710,1,281
108243,DB00605,1,282
107563,DB00945,1,283
107409,DB00602,1,284
106186,DB00115,1,285
106107,DB00358,1,286
104478,DB01023,1,287
103704,DB00501,1,288
103356,DB00795,1,289
102822,DB01114,1,290
101207,DB00315,1,291
100684,DB01273,1,292
100385,DB00035,1,293
99108,DB01220,1,294
98897,DB00833,1,295
98058,DB01195,1,296
95564,DB00333,1,297
95154,DB00240,1,298
94753,DB00915,1,299
94422,DB00735,1,300
94337,DB06335,1,301
94327,DB00991,1,302
94015,DB00794,1,303
92807,DB01166,1,304
92615,DB00993,1,305
92261,DB00639,1,306
92208,DB02300,1,307
90864,DB01416,1,308
89162,DB06799,1,309
82498,DB00299,1,310
82335,DB00869,1,311
81831,DB00243,1,312
81830,DB00458,1,313
81601,DB01203,1,314
81516,DB00879,1,315
81214,DB01410,1,316
80657,DB00882,1,317
80590,DB00836,1,318
80372,DB08816,1,319
80307,DB01173,1,320
79569,DB00612,1,321
78556,DB00989,1,322
78184,DB01079,1,323
77807,DB00246,1,324
75060,DB00502,1,325
75053,DB00921,1,326
74282,DB00911,1,327
74212,DB00980,1,328
74189,DB06684,1,329
72103,DB00245,1,330
71714,DB00184,1,331
70816,DB00211,1,332
69884,DB06204,1,333
67907,DB00454,1,334
67388,DB00704,1,335
67382,DB00239,1,336
67317,DB00457,1,337
67222,DB00909,1,338
66777,DB01097,1,339
64122,DB00687,1,340
64067,DB00277,1,341
63690,DB01167,1,342
62442,DB01212,1,343
62174,DB00375,1,344
62122,DB00356,1,345
61620,DB00496,1,346
60870,DB00986,1,347
